Device Name,Device Type,Energy Consumption (kWh),Date Range,Country,User Demographics: Age,User Demographics: Gender,Usage Frequency (per week/month),Device Brand,Average Duration of Use (Hours),Cost Savings (in $),Power Source,Internet Connectivity Status
Smart Refrigerator,Water Conservation,12.10,29-05-2024,France,50,Man,5 per week,SunTrack,1.50,$2.85 ,Solar,Offline Mode
Smart Speaker,Health Monitoring,12.30,31-07-2020,Germany,33,Man,10 per month,PlugWise,1.10,$4.66 ,Solar,Offline Mode
Smart Light Bulb,Security,15.50,13-12-2020,Brazil,55,Man,10 per month,SmartLiving,23.90,$18.24 ,Solar,Disconnected
Smart Plug,Entertainment,21.50,28-03-2022,Brazil,32,Prefer not to say,10 per month,ViewMax,19.90,$19.88 ,Battery,Offline Mode
Video Doorbell,Security,9.00,10-03-2024,Japan,36,Man,5 per week,CoolTech,15.50,$48.95 ,Battery,Intermittent
Smart Plug,Water Conservation,7.10,07-09-2022,South Africa,63,Prefer not to say,5 per week,BrightLife,15.20,$16.36 ,Battery,Disconnected
Smart TV,Security,7.70,05-04-2021,India,55,Woman,15 per month,ViewMax,6.70,$28.80 ,Grid,Connected
Home Assistant Hub,Smart Appliances,13.50,10-06-2020,USA,63,Man,10 per month,SoundWave,12.60,$7.10 ,Solar,Intermittent
Home Assistant Hub,Health Monitoring,11.80,22-01-2020,Germany,55,Man,10 per month,BrightLife,20.90,$47.63 ,Grid,Intermittent
Home Assistant Hub,Smart Appliances,13.10,01-11-2021,Germany,47,Woman,10 per month,SafeGuard,6.30,$14.63 ,Battery,Intermittent
Smart Refrigerator,Smart Appliances,23.40,21-06-2020,Mexico,51,Non-binary,3 per week,SmartLiving,11.80,$18.29 ,Grid,Disconnected
Solar Panel Monitor,Entertainment,4.10,08-07-2020,South Africa,60,Non-binary,7 per week,RingSecure,16.40,$45.51 ,Grid,Disconnected
Smart TV,Water Conservation,3.10,13-05-2022,Mexico,59,Woman,5 per week,PlugWise,21.30,$42.64 ,Battery,Offline Mode
Smart Refrigerator,Health Monitoring,20.30,11-06-2023,Japan,31,Prefer not to say,15 per month,ViewMax,8.60,$14.86 ,Battery,Intermittent
Video Doorbell,Energy-saving,17.80,16-02-2024,Australia,18,Non-binary,5 per week,RingSecure,0.70,$8.00 ,Solar,Offline Mode
Smart Thermostat,Health Monitoring,15.60,16-07-2021,Canada,50,Man,3 per week,SmartLiving,20.20,$35.96 ,Solar,Intermittent
Smart Light Bulb,Energy-saving,21.30,18-10-2024,USA,31,Non-binary,5 per week,BrightLife,11.00,$39.93 ,Solar,Offline Mode
Smart Refrigerator,Smart Appliances,0.70,02-02-2020,Germany,27,Woman,7 per week,PlugWise,4.50,$7.98 ,Grid,Offline Mode
Smart Speaker,Smart Appliances,9.70,08-10-2021,Australia,40,Non-binary,5 per week,SunTrack,14.40,$29.06 ,Solar,Offline Mode
Smart Speaker,Energy-saving,19.20,18-03-2021,France,59,Non-binary,5 per week,SunTrack,17.80,$47.45 ,Grid,Connected
Smart TV,Smart Appliances,4.60,28-12-2020,Australia,20,Woman,5 per week,EcoHome,17.50,$2.57 ,Battery,Disconnected
Smart Speaker,Climate Control,14.00,14-11-2023,USA,32,Non-binary,10 per month,PlugWise,18.50,$11.10 ,Grid,Connected
Smart Refrigerator,Fitness Monitoring,14.00,29-12-2024,Mexico,24,Non-binary,10 per month,SoundWave,18.70,$33.16 ,Grid,Disconnected
Home Assistant Hub,Smart Appliances,5.70,27-09-2020,South Africa,42,Woman,7 per week,SmartLiving,21.90,$48.56 ,Grid,Intermittent
Smart TV,Entertainment,5.50,24-01-2024,Australia,59,Man,15 per month,ViewMax,1.60,$40.45 ,Battery,Low Bandwidth
Smart Light Bulb,Fitness Monitoring,17.40,01-05-2024,Canada,62,Woman,5 per week,ViewMax,20.50,$45.58 ,Battery,Disconnected
Smart TV,Security,3.30,22-11-2020,Japan,18,Woman,15 per month,CoolTech,15.50,$18.75 ,Battery,Disconnected
Video Doorbell,Climate Control,6.40,20-02-2020,Japan,31,Prefer not to say,5 per week,SunTrack,20.60,$49.32 ,Grid,Intermittent
Video Doorbell,Climate Control,15.00,12-08-2020,South Africa,34,Man,5 per week,PlugWise,5.40,$37.26 ,Solar,Offline Mode
Smart TV,Energy-saving,11.10,21-12-2022,Australia,48,Prefer not to say,15 per month,SunTrack,0.80,$6.56 ,Grid,Low Bandwidth
Smart Refrigerator,Fitness Monitoring,18.10,03-04-2023,India,56,Non-binary,7 per week,CoolTech,12.00,$41.89 ,Battery,Connected
Smart Thermostat,Entertainment,17.80,12-08-2021,South Africa,59,Man,15 per month,RingSecure,20.30,$22.50 ,Grid,Intermittent
Smart Refrigerator,Health Monitoring,0.60,13-05-2020,Germany,60,Woman,15 per month,RingSecure,16.20,$9.70 ,Solar,Connected
Smart Speaker,Fitness Monitoring,1.70,19-02-2024,Germany,19,Man,5 per week,EcoHome,3.60,$9.60 ,Battery,Disconnected
Smart Speaker,Energy-saving,19.90,14-02-2023,Mexico,65,Non-binary,3 per week,BrightLife,13.50,$45.23 ,Solar,Low Bandwidth
Home Assistant Hub,Health Monitoring,6.80,01-12-2024,Mexico,32,Woman,15 per month,SunTrack,23.10,$36.55 ,Grid,Disconnected
Smart Thermostat,Water Conservation,19.90,20-05-2023,Brazil,26,Woman,7 per week,ViewMax,9.20,$12.27 ,Solar,Intermittent
Smart TV,Energy-saving,11.70,22-08-2023,Canada,21,Prefer not to say,3 per week,SoundWave,11.10,$37.37 ,Battery,Intermittent
Home Assistant Hub,Entertainment,3.20,07-11-2022,France,48,Man,5 per week,PlugWise,11.90,$31.14 ,Grid,Connected
Smart TV,Energy-saving,24.00,10-11-2023,USA,27,Non-binary,5 per week,SmartLiving,3.10,$39.42 ,Solar,Low Bandwidth
Smart Refrigerator,Health Monitoring,18.60,12-12-2024,South Africa,24,Man,5 per week,EcoHome,1.00,$38.84 ,Grid,Disconnected
Smart Thermostat,Health Monitoring,8.10,26-06-2023,Australia,42,Man,3 per week,ViewMax,12.20,$46.24 ,Grid,Disconnected
Solar Panel Monitor,Water Conservation,11.10,11-11-2024,Brazil,20,Woman,10 per month,CoolTech,8.90,$26.35 ,Battery,Disconnected
Smart Light Bulb,Energy-saving,10.70,25-10-2024,Australia,61,Non-binary,7 per week,CoolTech,22.10,$25.76 ,Grid,Disconnected
Smart Speaker,Fitness Monitoring,1.20,16-07-2024,South Africa,40,Prefer not to say,10 per month,SoundWave,8.80,$3.34 ,Grid,Low Bandwidth
Smart TV,Smart Appliances,16.20,31-12-2023,USA,26,Woman,15 per month,BrightLife,19.00,$5.10 ,Grid,Low Bandwidth
Smart Thermostat,Entertainment,22.90,03-12-2021,Mexico,52,Woman,10 per month,EcoHome,3.40,$24.11 ,Solar,Connected
Video Doorbell,Climate Control,1.40,28-12-2022,India,28,Prefer not to say,7 per week,SafeGuard,11.80,$9.79 ,Grid,Connected
Smart Light Bulb,Energy-saving,19.40,27-02-2021,Brazil,53,Woman,5 per week,SunTrack,7.80,$6.54 ,Battery,Low Bandwidth
Solar Panel Monitor,Climate Control,23.60,24-05-2022,India,36,Non-binary,5 per week,ViewMax,8.60,$16.44 ,Grid,Offline Mode
Smart Thermostat,Entertainment,14.90,01-01-2022,France,35,Non-binary,5 per week,RingSecure,5.40,$6.02 ,Solar,Disconnected
Smart TV,Climate Control,11.10,28-03-2024,Mexico,31,Non-binary,3 per week,SunTrack,5.60,$48.47 ,Battery,Intermittent
Smart Light Bulb,Security,1.20,01-07-2020,USA,40,Non-binary,5 per week,RingSecure,0.80,$47.07 ,Solar,Connected
Security Camera,Smart Appliances,22.70,14-01-2021,Japan,34,Woman,15 per month,SoundWave,15.80,$47.37 ,Solar,Disconnected
Smart Refrigerator,Health Monitoring,9.30,03-05-2020,Australia,25,Woman,7 per week,PlugWise,4.70,$2.45 ,Grid,Connected
Smart TV,Health Monitoring,12.90,12-05-2021,Mexico,57,Prefer not to say,7 per week,SoundWave,7.60,$39.57 ,Solar,Intermittent
Video Doorbell,Entertainment,10.50,25-11-2024,Brazil,24,Man,15 per month,EcoHome,3.60,$20.40 ,Grid,Disconnected
Security Camera,Water Conservation,16.50,19-04-2020,Mexico,43,Non-binary,3 per week,SafeGuard,2.70,$18.37 ,Battery,Connected
Security Camera,Entertainment,11.20,18-05-2021,Australia,56,Woman,7 per week,RingSecure,10.50,$3.22 ,Grid,Offline Mode
Solar Panel Monitor,Health Monitoring,18.00,16-11-2020,Australia,40,Non-binary,3 per week,RingSecure,12.70,$49.49 ,Solar,Low Bandwidth
Smart TV,Smart Appliances,2.70,04-11-2021,Japan,41,Man,15 per month,EcoHome,11.70,$34.67 ,Solar,Connected
Smart Refrigerator,Fitness Monitoring,12.70,06-04-2020,Germany,62,Man,15 per month,SmartLiving,17.60,$11.61 ,Battery,Intermittent
Video Doorbell,Energy-saving,20.60,20-03-2021,USA,44,Prefer not to say,7 per week,ViewMax,22.90,$42.05 ,Solar,Disconnected
Smart Speaker,Water Conservation,1.30,10-03-2020,Mexico,65,Man,15 per month,BrightLife,8.00,$40.17 ,Solar,Disconnected
Solar Panel Monitor,Security,7.70,06-11-2022,Brazil,36,Woman,10 per month,EcoHome,6.60,$31.09 ,Grid,Intermittent
Smart Plug,Climate Control,20.90,28-01-2021,France,65,Non-binary,5 per week,SunTrack,8.40,$49.14 ,Solar,Connected
Smart Thermostat,Smart Appliances,9.40,10-05-2024,Germany,39,Man,3 per week,EcoHome,3.20,$43.45 ,Battery,Low Bandwidth
Smart Thermostat,Health Monitoring,9.90,11-04-2022,Brazil,62,Prefer not to say,7 per week,SunTrack,2.60,$28.32 ,Grid,Offline Mode
Solar Panel Monitor,Smart Appliances,3.20,08-07-2023,France,54,Woman,10 per month,EcoHome,3.00,$3.51 ,Battery,Disconnected
Smart Speaker,Smart Appliances,17.90,31-08-2022,Australia,41,Man,15 per month,CoolTech,19.80,$10.18 ,Solar,Offline Mode
Home Assistant Hub,Fitness Monitoring,13.60,24-05-2024,Germany,51,Woman,3 per week,EcoHome,19.50,$12.10 ,Battery,Intermittent
Smart Plug,Fitness Monitoring,16.80,04-07-2022,Mexico,32,Woman,10 per month,BrightLife,22.50,$42.13 ,Grid,Disconnected
Home Assistant Hub,Fitness Monitoring,13.80,02-09-2022,Mexico,25,Prefer not to say,15 per month,PlugWise,12.10,$36.44 ,Battery,Low Bandwidth
Smart Thermostat,Energy-saving,16.40,04-05-2021,Canada,20,Woman,10 per month,BrightLife,20.30,$35.70 ,Battery,Intermittent
Video Doorbell,Water Conservation,1.80,11-09-2022,Brazil,51,Non-binary,3 per week,PlugWise,8.90,$47.68 ,Battery,Disconnected
Smart Refrigerator,Entertainment,10.90,29-05-2020,France,35,Non-binary,10 per month,SoundWave,18.90,$23.35 ,Solar,Connected
Smart Thermostat,Fitness Monitoring,3.80,21-11-2020,South Africa,21,Prefer not to say,7 per week,CoolTech,6.10,$10.98 ,Grid,Connected
Smart TV,Health Monitoring,20.60,17-03-2020,Canada,56,Prefer not to say,5 per week,SafeGuard,15.00,$20.06 ,Grid,Disconnected
Home Assistant Hub,Water Conservation,1.40,01-04-2024,Australia,47,Man,5 per week,SunTrack,4.20,$49.69 ,Battery,Connected
Smart Plug,Energy-saving,12.40,26-12-2022,USA,62,Woman,5 per week,ViewMax,17.40,$41.76 ,Grid,Disconnected
Smart Light Bulb,Security,7.60,25-06-2023,India,29,Man,15 per month,ViewMax,10.30,$27.48 ,Grid,Offline Mode
Solar Panel Monitor,Fitness Monitoring,0.70,03-06-2023,Australia,62,Woman,15 per month,SmartLiving,21.60,$19.01 ,Battery,Intermittent
Smart Thermostat,Climate Control,19.50,08-01-2024,Germany,26,Prefer not to say,10 per month,SunTrack,14.20,$2.29 ,Grid,Low Bandwidth
Video Doorbell,Health Monitoring,20.20,26-01-2021,France,49,Prefer not to say,5 per week,RingSecure,3.70,$21.70 ,Grid,Low Bandwidth
Smart Speaker,Water Conservation,6.50,04-10-2024,India,18,Prefer not to say,5 per week,ViewMax,4.40,$40.22 ,Solar,Disconnected
Smart Refrigerator,Health Monitoring,19.00,02-08-2023,India,21,Man,5 per week,SunTrack,5.20,$39.38 ,Grid,Disconnected
Smart TV,Water Conservation,13.90,11-09-2023,Brazil,31,Man,5 per week,SunTrack,14.40,$16.76 ,Battery,Intermittent
Security Camera,Fitness Monitoring,4.50,11-04-2024,Germany,38,Woman,5 per week,SoundWave,21.10,$16.84 ,Grid,Offline Mode
Video Doorbell,Entertainment,24.10,20-03-2023,USA,23,Man,3 per week,SmartLiving,23.40,$4.97 ,Grid,Connected
Smart Light Bulb,Water Conservation,17.60,27-07-2022,South Africa,18,Prefer not to say,5 per week,CoolTech,17.80,$37.48 ,Solar,Offline Mode
Smart Refrigerator,Energy-saving,5.80,08-12-2024,France,43,Man,7 per week,RingSecure,9.20,$19.35 ,Solar,Offline Mode
Smart Refrigerator,Water Conservation,1.20,19-02-2020,Germany,62,Prefer not to say,15 per month,SunTrack,3.20,$15.13 ,Battery,Disconnected
Smart Light Bulb,Security,6.10,05-04-2021,Australia,53,Non-binary,3 per week,RingSecure,6.90,$26.21 ,Solar,Offline Mode
Security Camera,Energy-saving,11.40,05-02-2024,South Africa,37,Non-binary,3 per week,BrightLife,8.70,$25.59 ,Battery,Offline Mode
Smart Speaker,Entertainment,11.80,26-09-2021,France,54,Prefer not to say,15 per month,BrightLife,3.50,$49.91 ,Grid,Intermittent
Smart Thermostat,Fitness Monitoring,11.30,06-12-2022,USA,18,Non-binary,7 per week,ViewMax,12.20,$49.40 ,Grid,Offline Mode
Security Camera,Energy-saving,14.00,02-09-2022,Mexico,23,Man,10 per month,ViewMax,15.10,$39.24 ,Battery,Disconnected
Smart Refrigerator,Entertainment,7.40,22-05-2022,Australia,46,Prefer not to say,10 per month,RingSecure,18.10,$20.46 ,Battery,Intermittent
Security Camera,Security,3.60,08-02-2021,Germany,60,Prefer not to say,7 per week,ViewMax,23.70,$5.80 ,Battery,Low Bandwidth
Smart Speaker,Energy-saving,7.30,15-11-2024,Canada,65,Man,10 per month,PlugWise,11.20,$10.21 ,Solar,Intermittent
Smart Plug,Health Monitoring,7.80,06-10-2022,India,41,Non-binary,3 per week,BrightLife,9.70,$11.31 ,Solar,Low Bandwidth
Smart Speaker,Energy-saving,13.70,25-09-2021,Canada,48,Woman,7 per week,PlugWise,22.60,$34.68 ,Grid,Connected
Smart TV,Smart Appliances,2.70,27-07-2020,Germany,20,Non-binary,10 per month,SunTrack,0.60,$2.75 ,Solar,Offline Mode
Smart TV,Smart Appliances,23.70,03-10-2021,Germany,40,Woman,5 per week,EcoHome,9.90,$27.65 ,Battery,Intermittent
Smart Refrigerator,Smart Appliances,19.10,15-09-2021,South Africa,61,Prefer not to say,10 per month,CoolTech,4.70,$40.41 ,Grid,Disconnected
Smart Speaker,Health Monitoring,15.70,21-01-2021,USA,59,Non-binary,3 per week,SafeGuard,0.90,$5.64 ,Solar,Offline Mode
Video Doorbell,Water Conservation,6.10,23-08-2022,Australia,62,Non-binary,7 per week,SmartLiving,8.00,$24.60 ,Grid,Intermittent
Smart Thermostat,Security,12.80,21-09-2023,India,29,Man,3 per week,SafeGuard,7.00,$4.14 ,Grid,Offline Mode
Smart Speaker,Climate Control,6.60,21-06-2022,Japan,65,Non-binary,3 per week,BrightLife,3.20,$32.05 ,Grid,Offline Mode
Smart Speaker,Entertainment,15.30,08-11-2022,Germany,36,Woman,7 per week,BrightLife,14.10,$2.49 ,Solar,Connected
Solar Panel Monitor,Smart Appliances,3.00,14-09-2020,Canada,35,Woman,15 per month,EcoHome,0.50,$20.37 ,Battery,Low Bandwidth
Smart TV,Fitness Monitoring,12.40,15-11-2023,South Africa,31,Prefer not to say,5 per week,SafeGuard,3.40,$34.32 ,Grid,Disconnected
Smart Light Bulb,Security,16.60,21-01-2021,Mexico,39,Woman,10 per month,SafeGuard,21.70,$36.74 ,Solar,Low Bandwidth
Smart Speaker,Health Monitoring,12.80,03-02-2021,Germany,32,Prefer not to say,10 per month,SmartLiving,20.10,$45.32 ,Grid,Intermittent
Smart TV,Entertainment,8.80,06-08-2022,Canada,51,Woman,5 per week,SoundWave,1.70,$38.18 ,Battery,Intermittent
Security Camera,Energy-saving,9.20,26-02-2023,France,55,Prefer not to say,5 per week,SafeGuard,22.50,$19.36 ,Solar,Offline Mode
Solar Panel Monitor,Security,5.10,19-03-2020,Germany,62,Man,5 per week,SoundWave,22.20,$36.74 ,Solar,Connected
Smart Speaker,Entertainment,10.70,05-04-2021,Mexico,60,Man,15 per month,SafeGuard,18.40,$6.22 ,Battery,Low Bandwidth
Smart TV,Health Monitoring,8.80,27-01-2020,Germany,40,Non-binary,3 per week,SoundWave,12.40,$42.89 ,Solar,Intermittent
Home Assistant Hub,Security,8.60,21-11-2022,Japan,64,Man,5 per week,EcoHome,8.30,$14.04 ,Solar,Offline Mode
Smart Refrigerator,Health Monitoring,3.30,08-05-2021,Australia,33,Man,10 per month,SafeGuard,15.20,$37.43 ,Solar,Low Bandwidth
Smart Speaker,Water Conservation,17.70,26-02-2021,Australia,52,Man,5 per week,SunTrack,19.80,$3.15 ,Grid,Low Bandwidth
Video Doorbell,Smart Appliances,18.80,13-05-2022,Mexico,44,Prefer not to say,7 per week,RingSecure,5.10,$5.59 ,Grid,Disconnected
Video Doorbell,Entertainment,2.80,16-01-2021,Japan,58,Prefer not to say,10 per month,SoundWave,17.60,$20.07 ,Grid,Disconnected
Home Assistant Hub,Entertainment,4.70,15-09-2021,Brazil,46,Man,15 per month,PlugWise,10.70,$38.69 ,Battery,Connected
Smart Speaker,Climate Control,8.50,10-10-2020,Australia,40,Non-binary,3 per week,SmartLiving,8.80,$13.99 ,Battery,Connected
Solar Panel Monitor,Fitness Monitoring,10.40,12-05-2020,Japan,34,Prefer not to say,15 per month,BrightLife,14.80,$49.70 ,Grid,Low Bandwidth
Home Assistant Hub,Climate Control,18.60,24-07-2021,Mexico,26,Woman,3 per week,SmartLiving,6.40,$18.50 ,Grid,Connected
Smart Thermostat,Energy-saving,6.30,23-10-2023,South Africa,30,Man,5 per week,PlugWise,0.90,$27.13 ,Solar,Connected
